HOUR,MIN,SEC,GDLAT,GLON,TEC,DTEC
0,2,30,-84,169,14.1676,1.31214
0,2,30,-84,173,16.066,1.40652
0,2,30,-84,176,15.3199,0.944487
0,2,30,-84,179,16.9086,1.41393
0,2,30,-83,-178,26.2358,7.90109
0,2,30,-83,-139,15.7987,1.34132
0,2,30,-83,-126,17.5201,1.35807
0,2,30,-83,-123,16.7874,1.36252
0,2,30,-83,-106,19.4323,1.69753
0,2,30,-83,-103,17.4259,1.30871
0,2,30,-83,-92,15.7061,1.30474
0,2,30,-83,-86,16.6469,1.30367
0,2,30,-83,-80,16.9535,1.30418
0,2,30,-83,-76,16.3611,0.922767
0,2,30,-83,-69,14.9673,1.31188
0,2,30,-83,-66,18.6379,1.31991
0,2,30,-83,-60,11.7376,1.6372
0,2,30,-83,-57,14.4946,1.02645
0,2,30,-83,-45,12.3932,1.53636
0,2,30,-83,-40,17.1966,1.32777
0,2,30,-83,-11,16.6756,1.31767
0,2,30,-83,76,13.531,3.08462
0,2,30,-83,128,17.1326,1.32639
0,2,30,-83,136,16.0164,1.30837
0,2,30,-83,142,17.2733,0.465136
0,2,30,-83,147,19.2656,1.43169
0,2,30,-83,150,16.0186,5.60948
0,2,30,-83,154,17.4572,1.73121
0,2,30,-83,158,18.9975,1.30608
0,2,30,-83,164,17.6943,1.3115
0,2,30,-83,168,14.1459,1.30468
0,2,30,-83,175,14.5149,0.3651
0,2,30,-83,178,14.5809,2.38262
0,2,30,-82,-173,15.4274,1.35998
0,2,30,-82,-170,16.0602,1.362
0,2,30,-82,-161,15.1152,1.39888
0,2,30,-82,-158,15.6122,1.40244
0,2,30,-82,-155,16.0131,1.40633
0,2,30,-82,-143,17.7532,4.58336
0,2,30,-82,-117,20.1155,1.30991
0,2,30,-82,-96,16.3826,1.31502
0,2,30,-82,-84,15.5473,0.940888
0,2,30,-82,-75,13.2404,1.33034
0,2,30,-82,-72,16.5931,1.30543
0,2,30,-82,-69,14.9138,1.30565
0,2,30,-82,-63,16.0503,1.3063
0,2,30,-82,-54,15.8225,1.30388
0,2,30,-82,-48,14.311,0.934237
0,2,30,-82,-37,15.0017,1.31326
0,2,30,-82,-32,14.6462,1.30621
0,2,30,-82,-29,14.607,1.30956
0,2,30,-82,117,15.3365,1.39847
0,2,30,-82,135,17.6628,0.932031
0,2,30,-82,138,17.6028,0.754305
0,2,30,-82,142,17.111,0.396326
0,2,30,-82,145,19.0394,1.5385
0,2,30,-82,167,16.43,1.31547
0,2,30,-82,175,15.5989,0.939056
0,2,30,-82,178,16.6689,0.925065
0,2,30,-81,-175,15.4715,1.31928
0,2,30,-81,-169,13.7846,1.31476
0,2,30,-81,-164,13.1001,2.25718
0,2,30,-81,-161,14.1458,0.947232
0,2,30,-81,-158,14.1549,0.959502
0,2,30,-81,-155,14.3416,1.51279
0,2,30,-81,-129,15.6979,1.31092
0,2,30,-81,-125,17.588,1.30488
